,acc,loss,val_acc,val_loss
0,0.26605027217419147,1.923926224053536,0.4074,1.601315255355835
1,0.4328170028818444,1.548406892734348,0.4961,1.3733745216369628
2,0.533321325648415,1.2965974105385454,0.6127,1.0792883487701417
3,0.6001841178354147,1.1207262200115202,0.662,0.9795182114601135
4,0.648975344220301,0.994590525305733,0.6879,0.9125521904945374
5,0.6880403458213257,0.8894161090536298,0.7322,0.7756627213478089
6,0.7144572526416907,0.8195589015852592,0.7442,0.7427048106193542
7,0.731227985910983,0.7699219766638045,0.7813,0.6612274280548096
8,0.7464777457572846,0.7249694032200322,0.7603,0.7208955768108368
9,0.7594860710854947,0.6898292816967831,0.7728,0.6717538452148437
10,0.7711135126480948,0.6633660839205555,0.7952,0.5992678035736084
11,0.7790786103105988,0.6447007277150816,0.8061,0.5915464900493622
12,0.7906460134486071,0.6109669164915784,0.8016,0.5815450951576233
13,0.7947286263208453,0.5948582057326106,0.7991,0.6257644326925278
14,0.8011327249439641,0.5749367823537405,0.819,0.5561614943504334
15,0.8034542106948447,0.5654748932524366,0.8202,0.5531746726036072
16,0.8113992955491515,0.5455278270793503,0.8081,0.6163052880287171
17,0.8131203970541147,0.5346406245227812,0.8235,0.5514059463977814
18,0.8207652897854627,0.5215653336051943,0.821,0.5448344241142273
19,0.8252681716298431,0.5064693818651939,0.8339,0.5199132639884949
20,0.8275496317643292,0.4995390425268901,0.8297,0.5261950699806214
21,0.8309918347742555,0.4929361532427659,0.8437,0.4730152848720551
22,0.8349143451809158,0.4798803274429383,0.8414,0.49612237919569013
23,0.8368956131924432,0.47083685580751966,0.8492,0.4576738639593124
24,0.8382364713416587,0.4673848849122737,0.8394,0.5226852313280106
25,0.8411983669548511,0.4588439399343708,0.8475,0.500236264693737
26,0.8417787383925712,0.4567508884454209,0.84,0.5103192099571228
27,0.844200288184438,0.44633932222722245,0.847,0.4932669139444828
28,0.8481428113992956,0.4358778371357246,0.8501,0.47540287266969683
29,0.849803874479667,0.4367234585445888,0.8524,0.46246889863014223
30,0.8535662824207493,0.4245503244899497,0.8531,0.46359442923069
31,0.8525056035862952,0.4255733431611846,0.8479,0.480404428601265
32,0.8540465898174832,0.4171887195877566,0.834,0.5392256909370422
33,0.8555275376240794,0.4197848474358161,0.8538,0.4767862094640732
34,0.8581292026897214,0.410301287391611,0.8543,0.509149286454916
35,0.8602952944942381,0.4043764233608252,0.8676,0.4267470559835434
36,0.8606862588084562,0.39958147027796465,0.8589,0.441619371843338
37,0.8619916746717899,0.39919499771891975,0.8621,0.4255107438206673
38,0.8636727505603586,0.3940934686707717,0.8623,0.44840731073617934
39,0.8653938520653218,0.3876141629232797,0.8574,0.4478230967760086
